# dt, b0, b1, b2
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.248022823856809238e-01-2.524817040821179456e-02j)  (-1.076030759306728923e-01+2.959612559618644001e-01j)  (7.008359233128594323e-02+9.190990792057169845e-01j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (8.265255783858646010e-01+1.578175405590946101e-01j)  (5.536522224913752004e-03-4.140861281954477256e-04j)  (-5.395745208537999771e-01+2.788555203147677006e-02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)  (8.859069409245943216e-01+1.519434985270183835e-01j)  (1.734156641187662232e-02-3.003697388158362847e-01j)  (-5.642623068285884669e-02-3.136484665575127173e-01j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)  (6.749489906768945113e-01+5.286851710441730079e-01j)  (5.309286809702057353e-02-1.457078666772122213e-03j)  (-5.053215491895003408e-01+8.224963920791582284e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (-3.939695562229485470e-01+1.174871734340652424e-02j)  (7.210951773315714408e-02-4.256255229329501677e-02j)  (-2.017699234619698412e-01-8.927079495230433315e-01j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)  (8.625321577722533384e-01-2.268513915402996239e-01j)  (8.673569615920029285e-02-1.348506230804346825e-02j)  (4.288467843591128315e-01-1.138517577177692031e-01j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)  (-6.034555238538077404e-01-2.390639537555191707e-01j)  (8.156673838992897774e-02-3.937837912641885957e-02j)  (-2.387878272721630502e-01-7.165657200718362763e-01j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)  (7.415263592351999389e-01+5.702909355626318844e-01j)  (7.303147655047163844e-02+8.583482568783561834e-03j)  (3.228937516069126379e-01-1.234473601921391300e-01j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)  (-4.942159964686011486e-01-5.753547412381986303e-01j)  (7.413904934556841964e-02-2.883893571082968635e-02j)  (-2.670902549023629891e-01-5.891111731675195973e-01j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)  (6.453290482005189510e-01+7.140446027333636758e-01j)  (7.270449398806826113e-02+4.702780352980063736e-03j)  (2.335221191023964249e-01-1.176863459534940454e-01j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)  (-3.306050087003738480e-01-7.235517228061670858e-01j)  (6.952134183678845836e-02-2.625551846405660764e-02j)  (-3.036570712990658838e-01-5.190790280716616190e-01j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)  (5.002966153649588410e-01+8.043197839411432293e-01j)  (7.567724032787227773e-02+3.678480784113413986e-03j)  (2.619657481129733512e-01-1.685418155003790830e-01j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)  (-1.666201603559264166e-01-8.027467823972265215e-01j)  (6.638973221134042424e-02-2.530066303273700162e-02j)  (-3.360454046757694879e-01-4.581059728109690421e-01j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)  (3.318662265348462648e-01+8.643197397033728357e-01j)  (7.860656310549578307e-02+2.547854980666565319e-03j)  (2.882810603127299309e-01-2.313541290915501480e-01j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)  (7.600669991955728497e-03-8.452157332730065864e-01j)  (6.358727932613529588e-02-2.389161320719984660e-02j)  (-3.560386098597100313e-01-3.926511708448067184e-01j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)  (1.542856357402180023e-01+8.886083495520976649e-01j)  (8.124684319528971410e-02+8.620793927036300014e-04j)  (3.014514851633525727e-01-2.984901069735327317e-01j)
